nmse_db,cdf
-27.7931824465904,0.00119904076738609
-27.5520874942009,0.00454867089479402
-27.3109925418114,0.00749635864734363
-27.0698975894218,0.0098618786184197
-26.8288026370323,0.0139471356661718
-26.5877076846428,0.0155702227584435
-26.3466127322532,0.0214240544253027
-26.1055177798637,0.022134475030633
-25.8644228274742,0.0226959640484402
-25.6233278750847,0.0255547740413615
-25.3822329226951,0.0283448656041471
-25.1411379703056,0.0303286209259071
-24.9000430179161,0.0339133289133752
-24.6589480655265,0.0367568251469045
-24.417853113137,0.0396154823169328
-24.1767581607475,0.0402365238998165
-23.935663208358,0.0423672751518578
-23.6945682559684,0.0464445838571636
-23.4534733035789,0.0495226366112458
-23.2123783511894,0.0542618109342656
-22.9712833987998,0.0672492438113969
-22.7301884464103,0.0712706212963489
-22.4890934940208,0.0782789387453359
-22.2479985416313,0.0817964699460742
-22.0069035892417,0.084526520706519
-21.7658086368522,0.0874134619449005
-21.5247136844627,0.0905191824079994
-21.2836187320731,0.0956922553015191
-21.0425237796836,0.0997474286041802
-20.8014288272941,0.104744313191447
-20.5603338749046,0.106826025153858
-20.319238922515,0.113283970558369
-20.0781439701255,0.115466501656661
-19.837049017736,0.117520468284666
-19.5959540653464,0.119373385696884
-19.3548591129569,0.122197297181463
-19.1137641605674,0.125829730624791
-18.8726692081778,0.129503943026816
-18.6315742557883,0.130188547847386
-18.3904793033988,0.132393278153752
-18.1493843510093,0.14414366701055
-17.9082893986197,0.154858313555167
-17.6671944462302,0.162296777429433
-17.4260994938407,0.169186662612826
-17.1850045414511,0.1726430546562
-16.9439095890616,0.178521117284966
-16.7028146366721,0.184966853702859
-16.4617196842826,0.186654702323814
-16.220624731893,0.201664578424121
-15.9795297795035,0.216400129324939
-15.738434827114,0.226569073831181
-15.4973398747244,0.234789090821996
-15.2562449223349,0.243831162598301
-15.0151499699454,0.254776537629355
-14.7740550175559,0.259199059474061
-14.5329600651663,0.265663018585577
-14.2918651127768,0.270141545296411
-14.0507701603873,0.275865816902371
-13.8096752079977,0.278909798410484
-13.5685802556082,0.280475257124568
-13.3274853032187,0.283854850597342
-13.0863903508292,0.288270785562847
-12.8452953984396,0.293402584259822
-12.6042004460501,0.297523755612364
-12.3631054936606,0.302345780272566
-12.122010541271,0.324011051121994
-11.8809155888815,0.344305297878104
-11.639820636492,0.363017266664456
-11.3987256841024,0.366621155501003
-11.1576307317129,0.371945343277826
-10.9165357793234,0.375303138832955
