label,nmse_db,cdf
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-13.9876449734069,0.280264473732345
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-13.7904230095043,0.282629549943372
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-13.5932010456017,0.283911186163692
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-13.3959790816991,0.285990823689276
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-13.1987571177964,0.287995167321963
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-13.0015351538938,0.292738426638853
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-12.8043131899912,0.296525126602372
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-12.6070912260886,0.299892238170143
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-12.4098692621859,0.301965962744926
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-12.2126472982833,0.31848551472905
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-12.0154253343807,0.334359243015921
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-11.8182033704781,0.352478336206065
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-11.6209814065755,0.368222010351261
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-11.4237594426728,0.372033433031334
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-11.2265374787702,0.379014410608605
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-11.0293155148676,0.382957309781409
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-10.832093550965,0.385031752510377
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-10.6348715870624,0.386289579999929
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-10.4376496231597,0.388396687989141
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-10.2404276592571,0.393326462866037
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-10.0432056953545,0.395776804822203
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-9.84598373145187,0.400258112070789
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-9.64876176754925,0.404575011936873
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-9.45153980364663,0.411405411543746
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-9.254317839744,0.414150677219036
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-9.05709587584138,0.415486722816949
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-8.85987391193876,0.417483744300379
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-8.66265194803614,0.418144177836241
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-8.46542998413352,0.418932565900055
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-8.2682080202309,0.419776151795342
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-8.07098605632828,0.420348656566298
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-7.87376409242565,0.421205684090986
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-7.67654212852303,0.422876348524655
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-7.47932016462041,0.444176516145872
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-7.28209820071779,0.456298005486015
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-7.08487623681517,0.465716252426164
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-6.88765427291255,0.480686496246599
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-6.69043230900992,0.49734461525222
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-6.4932103451073,0.527389844755916
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-6.29598838120468,0.557398673152307
"Baseline 2: Optimal RU, fixed beams (0°/0°)",-6.09876641730206,0.573168405236107
